complaint_id,product,sub_product,issue,category,date_received,narrative_snippet,metric
19823555,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19823225,Debt collection,Telecommunications debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19821893,Debt collection,Telecommunications debt,Written notification about debt,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19821295,Debt collection,Auto debt,Written notification about debt,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19821180,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19820761,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19818386,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19817762,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19817048,Debt collection,Medical debt,False statements or representation,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19816716,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19816190,Debt collection,I do not know,False statements or representation,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19815698,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19815084,Debt collection,Auto debt,Electronic communications,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19814240,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19811548,Debt collection,Medical debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19810974,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
19810572,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-02-26T12:00:00-05:00,,healthcare
