uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:7end3h3k3akz7mcdlt7bnmej/app.bsky.feed.post/3mkvuv67y522p,“What housing crisis?: Choosing the perfect Hooverville for you and yours”,jysexton.bsky.social,87,4,6,LEVEL_2_STRUGGLING,2026-05-03T00:15:31.069Z,housing crisis,housing_despair
at://did:plc:seop4aezvanh3533cevpvkfj/app.bsky.feed.post/3mkyofvtink2o,"From protecting families during the foreclosure crisis to fighting for affordable housing in Congress, addressing our housing crisis has always been my top priority. That won't stop when I'm Governor.",katieporterca.bsky.social,71,3,12,LEVEL_2_STRUGGLING,2026-05-04T02:57:35.719Z,housing crisis,housing_despair
at://did:plc:gouysuoxatjdb5bjcqe4sfh7/app.bsky.feed.post/3mkqf4iczzk24,I have been hearing that “legalize a ton of housing and wait 5 years” isn’t a solution to the housing crisis for 10 years at this point,samd.bsky.social,201,4,8,LEVEL_2_STRUGGLING,2026-04-30T19:49:57.975Z,housing crisis,housing_despair
at://did:plc:d7d4yllrxyzboys62gdefmpn/app.bsky.feed.post/3mkrdibjwff25,"What housing crisis?

Reform UK boasting when many can’t afford one of these.",reformexposed.bsky.social,67,2,23,LEVEL_2_STRUGGLING,2026-05-01T04:53:25.736Z,housing crisis,housing_despair
at://did:plc:lvwodiqbcwtvas6n4nfpkokt/app.bsky.feed.post/3mkkww3v5l225,The only way out of the housing crisis is to actually build the fucking housing. There are no other shortcuts.,surcomplicated.bsky.social,1299,36,258,LEVEL_2_STRUGGLING,2026-04-28T15:52:32.532Z,housing crisis,housing_despair
at://did:plc:uuwcnr32gcm7iuzfysuwjvop/app.bsky.feed.post/3mks7pvy4e22y,The real housing crisis in Alberta is that a list of everybody's houses was just leaked,paulisci.bsky.social,59,2,12,LEVEL_2_STRUGGLING,2026-05-01T13:18:46.855Z,housing crisis,housing_despair
at://did:plc:gcoiabsumehr3g6sbimjrqpx/app.bsky.feed.post/3mkqb6tjg7s25,I’m sorry we can’t solve the housing crisis overnight. Fixing big problems takes time.,collie.bsky.social,60,2,6,LEVEL_2_STRUGGLING,2026-04-30T18:39:41.859Z,housing crisis,housing_despair
at://did:plc:m7o3mimorqbe7nyzd5sacj4c/app.bsky.feed.post/3mkyf4iulm22y,"""The tax system makes it easier for a professional property investor to buy their 60th house than it does for someone to buy their first.

""That is so obscene.""

@larissawaters.bsky.social joins @ebonybennett.bsky.social to discuss Australia's housing crisis & taxing the 1%.

🎧 theaus.in/4tB6M0C",australiainstitute.org.au,111,1,40,LEVEL_2_STRUGGLING,2026-05-04T00:11:16.457Z,housing crisis,housing_despair
at://did:plc:elgt6wavoz7ilfulhmcmbx6o/app.bsky.feed.post/3mkpx5nqb3s2k,"I see the UK is working hard on its housing crisis.

*on the side of the crisis",kwilsonhfx.bsky.social,44,2,9,LEVEL_2_STRUGGLING,2026-04-30T15:40:04.817Z,housing crisis,housing_despair
at://did:plc:u3wpyckwqrhgeir4ajbfdute/app.bsky.feed.post/3mkssf6hi222f,"The “housing crisis” is not because housing is too expensive. It’s because there’s NOT ENOUGH of it, WHICH MAKES IT expensive.",spokanerising.com,54,1,8,LEVEL_2_STRUGGLING,2026-05-01T18:52:47.744Z,housing crisis,housing_despair
