uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:nhqvuggd6ebasluetrqfab6n/app.bsky.feed.post/3mkjbg32vd22g,"""i have subscription fatigue"" well here you go, check out some cool websites",lukeplunkett.com,150,2,28,LEVEL_1_AWARE,2026-04-27T23:55:06.484Z,subscription fatigue,subscription_overload
at://did:plc:qvyj3hxm4opuuddzrhcbiio6/app.bsky.feed.post/3mkktuspptc2u,"“Others noted subscription fatigue from being asked to pay for access to multiple news sources, including independent journalists on platforms such as Substack. ‘I can’t do $5 for 20 people,’ one participant said. ‘That’s a lot. It adds up.’”

www.editorandpublisher.com/stories/pew-...",mattdpearce.com,36,4,9,LEVEL_1_AWARE,2026-04-28T14:58:08.137Z,subscription fatigue,subscription_overload
at://did:plc:wllajaihnqrivbhxouer4jqz/app.bsky.feed.post/3mjsdm24oqk26,"Thanks for acknowledging that! Fair pricing also helps address subscription fatigue. If you're not using it, you shouldn't pay for it.",kagi.com,15,0,0,LEVEL_1_AWARE,2026-04-18T21:03:00.323Z,subscription fatigue,subscription_overload
at://did:plc:fcjospdjul3t7bvqbg3ynip3/app.bsky.feed.post/3mjopfqoxnc25,"Hi Bluesky! I edit Product Impossible, where I write about indie software sustainability, subscription fatigue, and what makes some tools last while others quietly degrade. Based in Poland. Looking forward to nerding out with all of you about the software we depend on every day.",sebakubisz.bsky.social,2,0,0,LEVEL_1_AWARE,2026-04-17T10:23:35.057Z,subscription fatigue,subscription_overload
at://did:plc:6fnzney5yhgjcbw664awibcm/app.bsky.feed.post/3mj4amxuuzk2d,"-not everything needs to be a subscription
-2FA for everything means better security but more rapid decision fatigue
-regular apple pie is better than apple crumble
-burnout should qualify for medical leave
-iPods are great
-it is fine to eat ravioli plain
-more people should exfoliate in the shower",karenho.bsky.social,236,12,21,LEVEL_1_AWARE,2026-04-10T02:11:16.051Z,subscription fatigue,subscription_overload
at://did:plc:m7ks2xhfuku7errrtfjux2lg/app.bsky.feed.post/3mij36nk45327,Thorne is on pace for $650 million in sales as Gen Z fuels a supplement boom — despite subscription fatigue,cnbc.com,5,0,0,LEVEL_1_AWARE,2026-04-02T11:13:11Z,subscription fatigue,subscription_overload
at://did:plc:gwtci6b4lmze7i4g7a67n6zc/app.bsky.feed.post/3mijbhdk6422i,Forgot I wrote this. The problem is not subscription fatigue. The problem is expecting a platform to run your business,lexroman.com,3,1,1,LEVEL_1_AWARE,2026-04-02T13:05:25.672Z,subscription fatigue,subscription_overload
at://did:plc:djxefgnitp6kmm2xec2vskcr/app.bsky.feed.post/3miift5squ22x,"The 'subscription-everything-economy' rip-off, is wearing consumers down. 'Subscription fatigue' is now a thing.",litespell.bsky.social,1,0,0,LEVEL_1_AWARE,2026-04-02T04:50:57.545Z,subscription fatigue,subscription_overload
at://did:plc:vbygzolacczoskmxgfdd5fc6/app.bsky.feed.post/3mic3j7l7bc2p,"I'm not renewing my #photoshop plan. Call it subscription fatigue or whatever, but there's too little innovation and too much of a push to A! to justify the cost. I'll be using #blender to edit and render videos, and I'm going to test Photopea and Affinity as alternatives for creating cover images.",theburntsunset.bsky.social,2,1,0,LEVEL_1_AWARE,2026-03-30T16:30:28.001Z,subscription fatigue,subscription_overload
at://did:plc:ulu2www2epciwhcpfbq3hc4n/app.bsky.feed.post/3mi66wgwezs2n,"subscription, create an account and download the app fatigue",peachyaqua.blacksky.app,18,1,5,LEVEL_1_AWARE,2026-03-29T03:20:54.188Z,subscription fatigue,subscription_overload
at://did:plc:5u54z2qgkq43dh2nzwzdbbhb/app.bsky.feed.post/3mi3xhmviar26, Are you suffering from ‘subscription fatigue’? ft.trib.al/C4ek9Gz  | opinion,financialtimes.com,13,3,1,LEVEL_1_AWARE,2026-03-28T06:02:01.251300Z,subscription fatigue,subscription_overload
at://did:plc:sxttw4f3ket2uyrrtc5ou4n2/app.bsky.feed.post/3mhwmdgssfk23,"It's really the ongoing monthly subscriptions that help the most with simply being able to get on with the work and not spending all our time selling 

But for people with subscription fatigue, we do also have episodes and bundles at the ""shop"" tab
patreon.com/lingthusiasm/shop",gretchenmcculloch.com,18,3,0,LEVEL_1_AWARE,2026-03-26T02:59:31.014Z,subscription fatigue,subscription_overload
at://did:plc:xy5jxwppps74gfzj5h7tpibz/app.bsky.feed.post/3lbyxhgrdyp2c,If fatigue and headache get added I'm going to need to find out if there's a daily Covid test subscription option https://twitter.com/BBCNews/status/1362012579380486145,twitter.bitoclass.uk,0,1,0,LEVEL_1_AWARE,2021-02-17T13:03:00.000Z,subscription fatigue,subscription_overload
at://did:plc:cr2l5gil7kkgogedmj4i3a6s/app.bsky.feed.post/3lfrlrugmos2i,Subscription fatigue is real!,klaro.bsky.social,0,0,0,LEVEL_1_AWARE,2025-01-15T10:49:47.280Z,subscription fatigue,subscription_overload
at://did:plc:jbixc7oho5qrvtbmca4jn32i/app.bsky.feed.post/3jv6tmhm5r42j,"I'm at the peak of my ""subscription economy"" fatigue. Everywhere you turn, I'm being asked to pay monthly or annually, and as a result, I'm paying more and more in fixed costs, like rent.",seochanhwe.bsky.social,1,1,0,LEVEL_1_AWARE,2023-05-08T03:40:02.724Z,subscription fatigue,subscription_overload
at://did:plc:inz4fkbbp7ms3ixufw6xuvdi/app.bsky.feed.post/3lsmbqetio32z,"While star reporters continue to flock to Substack, subscription fatigue is only getting worse. www.wired.com/story/substa...",wired.com,98,5,12,LEVEL_1_AWARE,2025-06-27T18:34:10.622Z,subscription fatigue,subscription_overload
at://did:plc:7ni6ktnv7pnp3pk6eosdznrg/app.bsky.feed.post/3lvlkuwht2c2d,[Wired]What Happens to Your Data If You Stop Paying for Cloud Storage? - WIRED Hit by subscription fatigue? Here’s what happens to your files and photos if you cancel your paid storage plan.,sketchynews.net,0,0,0,LEVEL_1_AWARE,2025-08-04T16:00:43.906Z,subscription fatigue,subscription_overload
at://did:plc:ol5xm2zrcdekoeuk4q46jdyr/app.bsky.feed.post/3mi4goewnlc2t,Are you suffering from ‘subscription fatigue’? ft.trib.al/u74p5oO #FTEdit,ftedit.ft.com,6,2,0,LEVEL_1_AWARE,2026-03-28T10:34:14.121Z,subscription fatigue,subscription_overload
at://did:plc:zxlg7db5co4df67avdzolwqs/app.bsky.feed.post/3mi3hdwzzcs2t,FYI: FAST channels hit 27% across Europe as subscription fatigue bites #FASTChannels #CTV #SubscriptionFatigue #DigitalAdvertising #MediaTrends,ppc.land,0,0,0,LEVEL_1_AWARE,2026-03-28T01:13:37Z,subscription fatigue,subscription_overload
at://did:plc:ml5zpq3752gn6i34hwat3dgx/app.bsky.feed.post/3lh2eljqjos2w,"5.	Subscription Fatigue – Monthly charges for streaming, apps, memberships, and other services add up quickly.",broke2boujie.bsky.social,1,0,0,LEVEL_1_AWARE,2025-01-31T16:00:07.824Z,subscription fatigue,subscription_overload
at://did:plc:p67kquwi74eh3ua3wo5tfaau/app.bsky.feed.post/3lbpwxbpetq2u,"""Now, we’re beginning to see churn rates tick up, and there are some existential factors. Inflation is one. People are watching their spending closely, and maybe there’s subscription fatigue.” Curious about common threads and #pubmedia.  #communitymedia

editorandpublisher.com/stories/origin…",eaxlr.com,0,0,0,LEVEL_1_AWARE,2023-08-08T14:54:04.000Z,subscription fatigue,subscription_overload
