uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:4u3hwe3p7oy3hoy3amlw7rp2/app.bsky.feed.post/3mkbqwevrks2y,"The richest Americans saw their net worth soar 120% from 2017 to 2025.

The top 1% now control $55.8 trillion in assets — more than the G.D.P. of the United States and China combined.

Meanwhile, millions of Americans live paycheck to paycheck.

Still wondering if inequality is out of control?",rbreich.bsky.social,4116,124,1566,LEVEL_2_STRUGGLING,2026-04-25T00:11:21.843467Z,paycheck to paycheck,wage_stagnation
at://did:plc:66splongwudvxfckjnk6p4tt/app.bsky.feed.post/3mkgrocxdvk23,People do all kinds of embarrassing things to keep their jobs when they need a paycheck,truebluemajority.bsky.social,90,3,4,LEVEL_1_AWARE,2026-04-27T00:08:03.847Z,paycheck to paycheck,wage_stagnation
at://did:plc:hvwxzvpacpx4jcjzr4t3jqfx/app.bsky.feed.post/3mkdqp7nycs2m,"A lot of school shooters aren't poor. At least they have a spare basement or shed to hide the weapons they bought with their spare cash. They probably don't live paycheck to paycheck. 
That's how I knew Trumpism was also not about ""economic anxiety.""",hueyli.bsky.social,152,8,21,LEVEL_2_STRUGGLING,2026-04-25T19:12:40.991Z,paycheck to paycheck,wage_stagnation
at://did:plc:6tdzrbbcds5goaznysdzs6vt/app.bsky.feed.post/3mkgzutwwas2x,All those endless tone deaf 'what you really need to retire early' articles when most kiwis are living paycheck to paycheck or worse... #nzpol,watershitdown.bsky.social,23,5,5,LEVEL_2_STRUGGLING,2026-04-27T02:34:52.920Z,paycheck to paycheck,wage_stagnation
at://did:plc:cb6uhto6bwvcx4anaq55konv/app.bsky.feed.post/3mkdpwqwkqc2p,"Moon Palace rules, and they’ve been looking out for their community since they started, which I’m not sure Tapper can say for himself about anything that doesn’t present a paycheck to him.",trungles.com,164,4,41,LEVEL_1_AWARE,2026-04-25T18:59:00.237Z,paycheck to paycheck,wage_stagnation
at://did:plc:uersa3pcduo7drnepnm2xhfa/app.bsky.feed.post/3mkbkewnsn226,"I know there are hundreds of people at CBS who live paycheck to paycheck and I get why they stick around and maybe hope for change.
Norah O'Donnell ain't one of them.",ploop52.bsky.social,26,1,1,LEVEL_2_STRUGGLING,2026-04-24T22:14:14.076Z,paycheck to paycheck,wage_stagnation
at://did:plc:yx7sj6wxjydup446x3swozds/app.bsky.feed.post/3mkhmybzn5k2v,oh thank god work is finally starting to pick up. my next paycheck is actually something *decent*,arrietty.itch.io,12,2,0,LEVEL_1_AWARE,2026-04-27T08:16:49.447Z,paycheck to paycheck,wage_stagnation
at://did:plc:4lehyjipetx44wxzsilenvrn/app.bsky.feed.post/3mkdmrgcd4h2u,"The richest Americans saw their net worth soar 120% from 2017 to 2025.

The top 1% now control $55.8 trillion in assets — more than the G.D.P. of the United States and China combined.

Meanwhile, millions of Americans live paycheck to paycheck.

Still wondering if inequality is out of control?",shimanti.bsky.social,24,2,9,LEVEL_2_STRUGGLING,2026-04-25T18:02:20.021Z,paycheck to paycheck,wage_stagnation
at://did:plc:iawnahlnh6ofio5y267jcppt/app.bsky.feed.post/3mkddkntc2c2d,Now I’m starting to think people raised in wealthy families with no exposure to real-world experiences — like shopping at a corner store or buying groceries on credit — might not have insight to the needs of hundreds of millions of people who face the growing threat of poverty every paycheck.,indyrefugee.bsky.social,57,3,12,LEVEL_1_AWARE,2026-04-25T15:17:29.429Z,paycheck to paycheck,wage_stagnation
at://did:plc:ormu73fjcw6m2pdv7nlyyxnt/app.bsky.feed.post/3mk6yiranji2p,Ohioans deserve a leader who’s working every day to make their lives easier and help their paycheck go further. That’s why I’m in this fight.,sherrodbrownoh.bsky.social,41,0,11,LEVEL_1_AWARE,2026-04-23T21:48:55.42249436Z,paycheck to paycheck,wage_stagnation
at://did:plc:xkhvaouwvnw3kp3w7nuz2yk6/app.bsky.feed.post/3mketqmhub22t,"Feel like they're just going to give him a 10 min kalshi heads up next week, probably easier than a paycheck and only a little massively illegal fraud",oggie.bsky.social,12,0,0,LEVEL_1_AWARE,2026-04-26T05:39:48.940Z,paycheck to paycheck,wage_stagnation
at://did:plc:gokwegpculmucctfablthkmi/app.bsky.feed.post/3mkb6lcft5k23,Less than a week left to get 30% off my brush packs and help an ice cream dog out with paying some bills while I wait for a paycheck!! Thank you everyone! 💸,puppsicle.bsky.social,28,0,23,LEVEL_1_AWARE,2026-04-24T18:43:02.822Z,paycheck to paycheck,wage_stagnation
at://did:plc:5c6hsv5eo7jbplibrgsyth6q/app.bsky.feed.post/3mkd3bllyc22e,"This. While it sounds like a grand thing, many people are living paycheck to paycheck, and should not be harassed about not participating in the day. Do what you can, how you can.",ktmuse.bsky.social,8,2,0,LEVEL_2_STRUGGLING,2026-04-25T12:49:15.168Z,paycheck to paycheck,wage_stagnation
at://did:plc:uyqz2nkbli6otogvabjw46rn/app.bsky.feed.post/3mk3ngh3n4222,"An aside on this thread, but ""a once a month paycheck is unusual in America"" is one of those cultural differences that is just hard to compute.",joxley.jmoxley.co.uk,69,11,3,LEVEL_1_AWARE,2026-04-22T13:52:47.656Z,paycheck to paycheck,wage_stagnation
at://did:plc:ho3fwz5hlgdt6c2m452d6c6n/app.bsky.feed.post/3mkerjugaks2o,"The richest Americans saw their net worth soar 120% from 2017 to 2025.

The top 1% now control $55.8 trillion in assets — more than the G.D.P. of the United States and China combined.

Meanwhile, millions of Americans live paycheck to paycheck.

Robert Reich",birdchaser49.bsky.social,6,0,2,LEVEL_2_STRUGGLING,2026-04-26T05:00:14.911Z,paycheck to paycheck,wage_stagnation
at://did:plc:j7y3zeiws7oogjwpzorgjulu/app.bsky.feed.post/3mkalyzzazc2p,"Only negative $315 after donations and my paycheck dropping. I still am getting the $30/day overdraft fee and really would like to get out of the negatives. I wont have another paycheck for two weeks so I need the help since the neg. took this entire one.
venmo LKarnstein
ko-fi.com/fangypeach",laura.karnste.in,27,0,64,LEVEL_1_AWARE,2026-04-24T13:10:42.689Z,paycheck to paycheck,wage_stagnation
