search_term,video_id,url,title,category
quit dating apps,OdjIW8IdbIM,https://www.youtube.com/watch?v=OdjIW8IdbIM,Why Gen Z is Quitting Dating Apps,LEVEL_3_CRISIS
quit dating apps,nmyxbCbKYg0,https://www.youtube.com/watch?v=nmyxbCbKYg0,Why Women Over 40 Should Quit Dating Apps Forever,LEVEL_3_CRISIS
quit dating apps,DxTd6Y7nn1E,https://www.youtube.com/watch?v=DxTd6Y7nn1E,The Only Dating App You Should Be Using in 2026,LEVEL_1_AWARE
quit dating apps,nsMZMjlHrlg,https://www.youtube.com/watch?v=nsMZMjlHrlg,🚫 NoFap &amp; Dating Apps | How it’s keeping you ADDICTED TO PORN,LEVEL_3_CRISIS
quit dating apps,UjRAxacSfl0,https://www.youtube.com/watch?v=UjRAxacSfl0,Dating Apps Are Broken | Here&#39;s What Works Instead,LEVEL_1_AWARE
quit dating apps,06xaEhog2jc,https://www.youtube.com/watch?v=06xaEhog2jc,Y&#39;all Need To Stop Dating,LEVEL_1_AWARE
quit dating apps,3YNVSkEXoWs,https://www.youtube.com/watch?v=3YNVSkEXoWs,Why I Quit DATING APPS Forever 🚫 #shorts #dating #datingapps #relationships #podcastclips,LEVEL_3_CRISIS
quit dating apps,7L59YI7UCVY,https://www.youtube.com/watch?v=7L59YI7UCVY,Narcissist joins online dating,LEVEL_1_AWARE
quit dating apps,u6B8JsuBAtU,https://www.youtube.com/watch?v=u6B8JsuBAtU,Why I Quit Dating Apps In Portugal,LEVEL_3_CRISIS
quit dating apps,K0RWcM8USS0,https://www.youtube.com/watch?v=K0RWcM8USS0,Quit dating apps and just enjoying life and see what happens!,LEVEL_3_CRISIS
quit dating apps,HVxR-xB4LPE,https://www.youtube.com/watch?v=HVxR-xB4LPE,Dating App Burnout: Why I Quit After One Year! #shorts,LEVEL_3_CRISIS
quit dating apps,cnzpT6ngMa8,https://www.youtube.com/watch?v=cnzpT6ngMa8,They Are Turning Us Into SOCIAL MEDIA AND DATING APPS ADDICTS! QUIT NOW!,LEVEL_3_CRISIS
dating app burnout,zv17sU2NJC4,https://www.youtube.com/watch?v=zv17sU2NJC4,Dating app burnout and better alternatives,LEVEL_1_AWARE
dating app burnout,PCGd_qkFdy4,https://www.youtube.com/watch?v=PCGd_qkFdy4,dating burnout &amp; rejection #onlinedating #relationships #mentalhealth #podcast #relatable,LEVEL_1_AWARE
dating app burnout,z5Qs9W9ABmo,https://www.youtube.com/watch?v=z5Qs9W9ABmo,Dating App Burnout? Ditch the Apps &amp; Date IRL! #shorts,LEVEL_1_AWARE
dating app burnout,cwxzahiOwlU,https://www.youtube.com/watch?v=cwxzahiOwlU,Gen Z&#39;s Dating Crisis: Why Everyone&#39;s Ghosting Each Other,LEVEL_1_AWARE
dating app burnout,fLYKy51jIVc,https://www.youtube.com/watch?v=fLYKy51jIVc,Dating Apps Are Exhausting: Here&#39;s What&#39;s Happening,LEVEL_2_FRUSTRATED
dating app burnout,TT1UilzS-T4,https://www.youtube.com/watch?v=TT1UilzS-T4,dating app burnout 🔥,LEVEL_1_AWARE
dating app burnout,SliMHSzHWdQ,https://www.youtube.com/watch?v=SliMHSzHWdQ,What Are The Signs Of Dating App Burnout?,LEVEL_2_FRUSTRATED
dating app burnout,o2iaKyZCW4g,https://www.youtube.com/watch?v=o2iaKyZCW4g,The Burnout Machine: Why Dating Apps Are Designed to Keep You Single,LEVEL_1_AWARE
dating apps ruined dating,h9zOaIZxCus,https://www.youtube.com/watch?v=h9zOaIZxCus,Dating Apps Are Ruined!,LEVEL_1_AWARE
dating apps ruined dating,0M6eRFauxG0,https://www.youtube.com/watch?v=0M6eRFauxG0,"Tinder RUINED Dating 🤯🤬 (Dating Apps, Online Dating)",LEVEL_1_AWARE
dating apps ruined dating,3bcy56-x3fo,https://www.youtube.com/watch?v=3bcy56-x3fo,Attractive Men Are Being RUINED by Dating Apps (No One Talks About This),LEVEL_1_AWARE
dating apps ruined dating,XwR1xQsVk1M,https://www.youtube.com/watch?v=XwR1xQsVk1M,This might be the end of dating apps..,LEVEL_1_AWARE
dating apps ruined dating,dxxbcEGKs-c,https://www.youtube.com/watch?v=dxxbcEGKs-c,The Gen Z Dating Apocalypse,LEVEL_1_AWARE
dating apps ruined dating,xexO37gIU94,https://www.youtube.com/watch?v=xexO37gIU94,Feminism RUINED Dating for Men,LEVEL_1_AWARE
dating apps ruined dating,QDE7Pqe7x_E,https://www.youtube.com/watch?v=QDE7Pqe7x_E,Dating Apps RUINED Relationships? Men&#39;s Dating Advice!,LEVEL_1_AWARE
dating apps ruined dating,oFLCFpWnlwI,https://www.youtube.com/watch?v=oFLCFpWnlwI,“Did Millennials Ruin Dating for Gen Z?”,LEVEL_1_AWARE
dating apps ruined dating,gua6kOd3wMw,https://www.youtube.com/watch?v=gua6kOd3wMw,Why equality ruined modern dating #marriageadvise #datingadvice #careerwomen #mentalhealth #dating,LEVEL_1_AWARE
dating apps ruined dating,UdQjhmEk9ME,https://www.youtube.com/watch?v=UdQjhmEk9ME,"&quot;Dating Apps ruined Love, maybe&quot; - Two Sides of the South",LEVEL_1_AWARE
dating apps ruined dating,amOzgj7r8gM,https://www.youtube.com/watch?v=amOzgj7r8gM,How Dating Apps and Social Media Ruined Dating for Everyone,LEVEL_1_AWARE
dating apps ruined dating,Ml_K4ZCdxI0,https://www.youtube.com/watch?v=Ml_K4ZCdxI0,Jim Sexton: Dating Apps Are Killing &quot;Dating&quot;,LEVEL_1_AWARE
